,Date,Open,Close,Low,High,Volume
0,1384128000,1.33465,1.33574,1.33465,1.33627,0.0
1,1384131600,1.33574,1.33566,1.33564,1.33668,0.0
2,1384135200,1.33566,1.3357,1.33557,1.33616,0.0
3,1384138800,1.3357,1.33617,1.33562,1.33632,0.0
4,1384142400,1.33617,1.3363,1.33607,1.33636,0.0
5,1384146000,1.3363,1.33704,1.33588,1.33704,0.0
6,1384153200,1.33704,1.33745,1.33677,1.33791,0.0
7,1384156800,1.33745,1.33849,1.33685,1.33856,0.0
8,1384160400,1.33849,1.33906,1.33755,1.33937,0.0
9,1384164000,1.33906,1.34002,1.33835,1.34066,0.0
10,1384167600,1.34002,1.33969,1.33924,1.34015,0.0
11,1384171200,1.33969,1.33962,1.3393,1.33981,0.0
12,1384174800,1.33962,1.34065,1.33909,1.34122,0.0
13,1384178400,1.34065,1.34024,1.33967,1.34094,0.0
14,1384182000,1.34024,1.34081,1.33996,1.34116,0.0
15,1384185600,1.34081,1.34062,1.34035,1.34105,0.0
16,1384189200,1.34062,1.34028,1.34016,1.34161,0.0
17,1384192800,1.34028,1.34089,1.33992,1.34102,0.0
18,1384196400,1.34089,1.34083,1.34077,1.34111,0.0
19,1384200000,1.34083,1.34131,1.34058,1.34143,0.0
20,1384203600,1.34131,1.34064,1.34049,1.3415,0.0
21,1384207200,1.34064,1.34069,1.34045,1.34105,0.0
22,1384210800,1.34069,1.34075,1.34037,1.34139,0.0
23,1384214400,1.34075,1.3404,1.33988,1.34076,0.0
24,1384218000,1.3404,1.33967,1.33929,1.34065,0.0
25,1384221600,1.33967,1.33941,1.33897,1.33976,0.0
26,1384225200,1.33941,1.33985,1.33907,1.34011,0.0
27,1384228800,1.33985,1.33936,1.33933,1.34019,0.0
28,1384232400,1.33936,1.33876,1.33864,1.33959,0.0
29,1384236000,1.33876,1.33867,1.33825,1.33949,0.0
30,1384239600,1.33867,1.33863,1.338,1.33987,0.0
31,1384243200,1.33863,1.33857,1.33716,1.33927,0.0
32,1384246800,1.33857,1.33749,1.33593,1.3392,0.0
33,1384250400,1.33749,1.33985,1.33749,1.34,0.0
34,1384254000,1.33985,1.33852,1.33812,1.34089,0.0
35,1384257600,1.33852,1.34085,1.33828,1.34166,0.0
36,1384261200,1.34085,1.34367,1.34085,1.34417,0.0
37,1384264800,1.34367,1.34495,1.34295,1.34562,0.0
38,1384268400,1.34495,1.34374,1.34367,1.34558,0.0
39,1384272000,1.34374,1.34282,1.34245,1.34398,0.0
40,1384275600,1.34282,1.34424,1.34264,1.34495,0.0
41,1384279200,1.34424,1.34325,1.34319,1.34481,0.0
42,1384282800,1.34325,1.34272,1.34264,1.34347,0.0
43,1384286400,1.34272,1.34335,1.34225,1.34368,0.0
44,1384290000,1.34335,1.34355,1.34333,1.34369,0.0
45,1384293600,1.34355,1.3435,1.34308,1.34363,0.0
46,1384297200,1.3435,1.34377,1.34313,1.34441,0.0
47,1384300800,1.34377,1.3434,1.34299,1.34407,0.0
48,1384304400,1.3434,1.34393,1.34308,1.34416,0.0
49,1384308000,1.34393,1.3449,1.34358,1.34507,0.0
50,1384311600,1.3449,1.34435,1.34431,1.34491,0.0
51,1384315200,1.34435,1.34514,1.34425,1.34527,0.0
52,1384318800,1.34514,1.34436,1.3441,1.34514,0.0
53,1384322400,1.34436,1.34366,1.34335,1.34467,0.0
54,1384326000,1.34366,1.34303,1.34303,1.34401,0.0
55,1384329600,1.34303,1.34356,1.34238,1.34377,0.0
56,1384333200,1.34356,1.34145,1.34133,1.3436,0.0
57,1384336800,1.34145,1.342012,1.34085,1.342351,0.0
58,1384340400,1.342012,1.341655,1.341257,1.342495,0.0
59,1384344000,1.341655,1.341795,1.341386,1.342759,0.0
60,1384347600,1.341795,1.344165,1.341347,1.344669,0.0
61,1384351200,1.344165,1.340405,1.339182,1.345378,0.0
62,1384354800,1.340405,1.340364,1.339035,1.34091,0.0
63,1384358400,1.340364,1.345594,1.340045,1.34704,0.0
64,1384362000,1.345594,1.345422,1.345142,1.346261,0.0
65,1384365600,1.345422,1.345458,1.344495,1.345802,0.0
66,1384369200,1.345458,1.346204,1.345445,1.346602,0.0
67,1384372800,1.346204,1.346265,1.345855,1.346555,0.0
68,1384376400,1.346265,1.348688,1.345665,1.349552,0.0
69,1384380000,1.348688,1.348197,1.347506,1.349772,0.0
70,1384383600,1.348197,1.348452,1.347957,1.349358,0.0
71,1384387200,1.348452,1.348205,1.348111,1.349431,0.0
72,1384390800,1.348205,1.347336,1.347248,1.348675,0.0
73,1384394400,1.347336,1.347457,1.346477,1.347858,0.0
74,1384398000,1.347457,1.346747,1.346399,1.347457,0.0
75,1384401600,1.346747,1.346752,1.346629,1.346888,0.0
76,1384405200,1.346752,1.34703,1.346672,1.347184,0.0
77,1384408800,1.34703,1.346359,1.346359,1.347363,0.0
78,1384412400,1.346359,1.345652,1.345076,1.346786,0.0
79,1384416000,1.345652,1.345584,1.345556,1.347037,0.0
80,1384419600,1.345584,1.344355,1.344355,1.346084,0.0
81,1384423200,1.344355,1.342894,1.342894,1.344858,0.0
82,1384426800,1.342894,1.343285,1.341865,1.343584,0.0
83,1384430400,1.343285,1.343678,1.3432,1.344406,0.0
84,1384434000,1.343678,1.345676,1.343363,1.346108,0.0
85,1384437600,1.345676,1.345576,1.343906,1.346255,0.0
86,1384441200,1.345576,1.345753,1.343233,1.347026,0.0
87,1384444800,1.345753,1.346794,1.34503,1.348885,0.0
88,1384448400,1.346794,1.347185,1.346146,1.348224,0.0
89,1384452000,1.347185,1.344975,1.344499,1.347647,0.0
90,1384455600,1.344975,1.345595,1.344801,1.345595,0.0
91,1384459200,1.345595,1.345856,1.345512,1.346625,0.0
92,1384462800,1.345856,1.345692,1.345652,1.346535,0.0
93,1384466400,1.345692,1.345888,1.345267,1.346165,0.0
94,1384470000,1.345888,1.344596,1.344596,1.345907,0.0
95,1384473600,1.344596,1.345203,1.344555,1.345483,0.0
96,1384477200,1.345203,1.346118,1.345044,1.346405,0.0
97,1384480800,1.346118,1.345189,1.345062,1.34618,0.0
98,1384484400,1.345189,1.345438,1.345055,1.345575,0.0
99,1384488000,1.345438,1.345554,1.345058,1.345603,0.0
100,1384491600,1.345554,1.344904,1.344836,1.345587,0.0
101,1384495200,1.344904,1.346235,1.344866,1.346296,0.0
102,1384498800,1.346235,1.345015,1.344975,1.346282,0.0
103,1384502400,1.345015,1.345397,1.344665,1.346082,0.0
104,1384506000,1.345397,1.343895,1.343242,1.345681,0.0
105,1384509600,1.343895,1.344712,1.343589,1.3452,0.0
106,1384513200,1.344712,1.344872,1.34443,1.345195,0.0
107,1384516800,1.344872,1.345465,1.344655,1.34608,0.0
108,1384520400,1.345465,1.34805,1.34516,1.348793,0.0
109,1384524000,1.34805,1.34956,1.34805,1.350515,0.0
110,1384527600,1.34956,1.347198,1.347065,1.34966,0.0
111,1384531200,1.347198,1.347995,1.347198,1.348455,0.0
112,1384534800,1.347995,1.348138,1.347578,1.348278,0.0
113,1384538400,1.348138,1.348274,1.34798,1.348613,0.0
114,1384542000,1.348274,1.348966,1.34824,1.349195,0.0
115,1384545600,1.348966,1.349087,1.348876,1.349565,0.0
116,1384549200,1.349087,1.34957,1.349009,1.349808,0.0
117,1384722000,1.34922,1.34963,1.34911,1.349865,0.0
118,1384725600,1.34963,1.349204,1.349204,1.349874,0.0
119,1384729200,1.349204,1.348234,1.348058,1.349204,0.0
120,1384732800,1.348234,1.347962,1.347923,1.348612,0.0
121,1384736400,1.347962,1.348584,1.347584,1.348623,0.0
122,1384740000,1.348584,1.348869,1.348455,1.348997,0.0
123,1384743600,1.348869,1.349283,1.348869,1.349662,0.0
124,1384747200,1.349283,1.34898,1.348859,1.34947,0.0
125,1384750800,1.34898,1.349534,1.348693,1.349675,0.0
126,1384754400,1.349534,1.349197,1.349065,1.350642,0.0
127,1384758000,1.349197,1.350373,1.34896,1.350613,0.0
128,1384761600,1.350373,1.350474,1.349372,1.350579,0.0
129,1384765200,1.350474,1.350596,1.350189,1.351789,0.0
130,1384768800,1.350596,1.350932,1.350579,1.351382,0.0
131,1384772400,1.350932,1.350861,1.350479,1.351345,0.0
132,1384776000,1.350861,1.350979,1.35071,1.351781,0.0
133,1384779600,1.350979,1.351615,1.350979,1.352158,0.0
134,1384783200,1.351615,1.353614,1.351545,1.354113,0.0
135,1384786800,1.353614,1.352516,1.35202,1.354174,0.0
136,1384790400,1.352516,1.351912,1.351842,1.352744,0.0
137,1384794000,1.351912,1.350792,1.34966,1.352316,0.0
138,1384797600,1.350792,1.350806,1.350556,1.351524,0.0
139,1384801200,1.350806,1.349954,1.349937,1.351568,0.0
140,1384804800,1.349954,1.350422,1.349623,1.350479,0.0
141,1384808400,1.350422,1.350578,1.350181,1.350827,0.0
142,1384812000,1.350578,1.350405,1.350078,1.350745,0.0
143,1384815600,1.350405,1.35019,1.349915,1.350517,0.0
144,1384819200,1.35019,1.351182,1.34997,1.351265,0.0
145,1384822800,1.351182,1.351879,1.350837,1.35232,0.0
146,1384826400,1.351879,1.351504,1.351293,1.351998,0.0
147,1384830000,1.351504,1.350817,1.350373,1.351504,0.0
148,1384833600,1.350817,1.350755,1.350655,1.351012,0.0
149,1384837200,1.350755,1.350785,1.350686,1.351185,0.0
150,1384840800,1.350785,1.35184,1.350559,1.351859,0.0
151,1384844400,1.35184,1.351812,1.351251,1.351974,0.0
152,1384848000,1.351812,1.351968,1.35019,1.354308,0.0
153,1384851600,1.351968,1.351503,1.350982,1.35235,0.0
154,1384855200,1.351503,1.349462,1.349266,1.351503,0.0
155,1384858800,1.349462,1.349279,1.349168,1.350505,0.0
156,1384862400,1.349279,1.350058,1.348798,1.350729,0.0
157,1384866000,1.350058,1.351003,1.349768,1.352074,0.0
158,1384869600,1.351003,1.349858,1.349261,1.352405,0.0
159,1384873200,1.349858,1.352531,1.349344,1.354049,0.0
160,1384876800,1.352531,1.35285,1.35163,1.353282,0.0
161,1384880400,1.35285,1.353592,1.352686,1.354696,0.0
162,1384884000,1.353592,1.353125,1.35304,1.3541,0.0
163,1384887600,1.353125,1.353062,1.352678,1.35329,0.0
164,1384891200,1.353062,1.353919,1.352965,1.354172,0.0
165,1384894800,1.353919,1.353835,1.353506,1.354097,0.0
166,1384898400,1.353835,1.353586,1.353345,1.353969,0.0
167,1384902000,1.353586,1.356417,1.35338,1.357789,0.0
168,1384905600,1.356417,1.355867,1.354579,1.356417,0.0
169,1384909200,1.355867,1.354872,1.354551,1.355867,0.0
170,1384912800,1.354872,1.355394,1.354574,1.355946,0.0
171,1384916400,1.355394,1.355493,1.355383,1.356432,0.0
172,1384920000,1.355493,1.355105,1.35506,1.355904,0.0
173,1384923600,1.355105,1.355167,1.354588,1.35533,0.0
174,1384927200,1.355167,1.354008,1.353919,1.355186,0.0
175,1384930800,1.354008,1.353416,1.353093,1.354292,0.0
176,1384934400,1.353416,1.353681,1.352831,1.353975,0.0
177,1384938000,1.353681,1.352216,1.351675,1.354046,0.0
178,1384941600,1.352216,1.352846,1.351871,1.353265,0.0
179,1384945200,1.352846,1.352585,1.352246,1.353266,0.0
180,1384948800,1.352585,1.351887,1.351767,1.353632,0.0
181,1384952400,1.351887,1.353476,1.351255,1.354378,0.0
182,1384956000,1.353476,1.353302,1.352493,1.354603,0.0
183,1384959600,1.353302,1.346445,1.3455,1.354328,0.0
184,1384963200,1.346445,1.3451,1.344648,1.347213,0.0
185,1384966800,1.3451,1.343844,1.343512,1.345395,0.0
186,1384970400,1.343844,1.344269,1.342975,1.344604,0.0
187,1384974000,1.344269,1.341948,1.341567,1.344658,0.0
