Date,Open,Close,High,Low,Volume
2019-10-12 01:00:00,8301.0,8330.0,8351.0,8286.7,84.70812425
2019-10-12 02:00:00,8330.9,8324.4,8353.2,8322.0,34.38038877
2019-10-12 03:00:00,8330.2,8330.1,8342.4,8314.7,28.17369592
2019-10-12 04:00:00,8330.0072184,8333.9,8352.1519224,8329.8,26.30435307
2019-10-12 05:00:00,8333.9,8363.0,8380.0,8333.9,214.61568501
2019-10-12 06:00:00,8363.0,8364.8,8380.0,8360.9,117.57307785
2019-10-12 07:00:00,8368.3,8368.9,8378.0,8354.2,33.30860545
2019-10-12 08:00:00,8372.0,8371.7,8377.9,8353.5,9.01903417
2019-10-12 09:00:00,8371.7,8366.1,8394.0,8363.8,57.35523376
2019-10-12 10:00:00,8366.11810689,8341.9,8366.2,8322.0,108.37762705
2019-10-12 11:00:00,8341.9,8341.7,8360.0,8323.34667105,46.19616328
2019-10-12 12:00:00,8341.68316561,8359.8,8360.0,8332.3,33.3396307
2019-10-12 13:00:00,8360.0,8351.1,8360.0,8341.2,27.95503636
2019-10-12 14:00:00,8349.4,8415.8,8423.7,8332.1,143.0991739
2019-10-12 15:00:00,8415.9,8400.0,8418.0,8377.8,92.1098343
2019-10-12 16:00:00,8400.0,8364.8,8418.0,8352.1,63.56127873
2019-10-12 17:00:00,8364.7,8346.6,8365.5,8346.6,50.26442161
2019-10-12 18:00:00,8346.6,8332.0,8351.0,8310.1,83.3204485
2019-10-12 19:00:00,8332.0,8331.5,8346.3,8312.44043098,130.45153098
2019-10-12 20:00:00,8331.6,8360.66335563,8369.1,8331.6,35.6475052
2019-10-12 21:00:00,8360.55300569,8355.1,8368.9,8342.12456537,22.91855337
2019-10-12 22:00:00,8356.2,8346.31786317,8363.09105435,8344.2,7.84819992
2019-10-12 23:00:00,8346.0,8319.6,8351.0,8312.0,132.68925359
2019-10-13 00:00:00,8320.3,8348.4,8353.2,8310.0,129.12783471
2019-10-13 01:00:00,8348.4,8357.90460708,8377.0,8343.2,55.89525963
